Age,Primary streaming service,Hours per day,While working,Fav genre,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [K pop],Frequency [Rap],Anxiety,Depression,Insomnia,OCD,Music effects
18,Spotify,3,Yes,Latin,Rarely,Never,Rarely,Very frequently,Very frequently,3,0,1,0,
63,Pandora,1.5,Yes,Rock,Sometimes,Never,Never,Rarely,Rarely,7,2,2,1,
18,Spotify,4,No,Video game music,Never,Never,Very frequently,Very frequently,Rarely,7,7,10,2,No effect
61,YouTube Music,2.5,Yes,Jazz,Sometimes,Never,Never,Sometimes,Never,9,7,3,3,Improve
18,Spotify,4,Yes,R&B,Never,Never,Rarely,Very frequently,Very frequently,7,2,5,9,Improve
18,Spotify,5,Yes,Jazz,Rarely,Sometimes,Never,Very frequently,Very frequently,8,8,7,7,Improve
18,YouTube Music,3,Yes,Video game music,Sometimes,Never,Rarely,Never,Never,4,8,6,0,Improve
21,Spotify,1,Yes,K pop,Never,Never,Rarely,Very frequently,Rarely,5,3,5,3,Improve
19,Spotify,6,Yes,Rock,Never,Very frequently,Never,Never,Never,2,0,0,0,Improve
18,I do not use a streaming service.,1,Yes,R&B,Rarely,Rarely,Rarely,Never,Rarely,2,2,5,1,Improve
18,Spotify,3,Yes,Country,Never,Very frequently,Never,Never,Never,7,7,4,7,No effect
19,YouTube Music,8,Yes,EDM,Rarely,Never,Very frequently,Rarely,Sometimes,1,0,0,1,Improve
,Spotify,3,Yes,Hip hop,Rarely,Never,Rarely,Sometimes,Rarely,9,3,2,7,Improve
19,Spotify,2,Yes,Country,Never,Very frequently,Rarely,Never,Very frequently,2,1,2,0,Improve
18,Spotify,4,Yes,Jazz,Very frequently,Rarely,Never,Never,Never,6,4,7,0,Improve
17,Spotify,2,No,Pop,Rarely,Rarely,Never,Rarely,Sometimes,7,5,4,1,Worsen
16,Spotify,8,Yes,Hip hop,Never,Never,Never,Never,Very frequently,8,8,4,3,Improve
16,Spotify,12,Yes,Hip hop,Rarely,Never,Sometimes,Never,Sometimes,5,7,10,0,Improve
17,Spotify,24,Yes,Rap,Rarely,Never,Never,Sometimes,Very frequently,7,5,0,3,Improve
15,Spotify,3,No,Hip hop,Never,Never,Never,Never,Very frequently,7,3,0,2,Improve
15,Apple Music,8,Yes,Hip hop,Rarely,Never,Sometimes,Very frequently,Very frequently,6,9,3,0,Improve
17,Spotify,4,Yes,Rap,Never,Rarely,Rarely,Never,Very frequently,10,10,2,4,Improve
19,I do not use a streaming service.,5,Yes,R&B,Rarely,Rarely,Sometimes,Never,Very frequently,6,7,5,4,Improve
18,Spotify,2,Yes,Pop,Rarely,Rarely,Sometimes,Rarely,Never,3,3,8,6,No effect
16,Other streaming service,3,Yes,Rock,Rarely,Rarely,Never,Never,Rarely,10,6,8,10,Improve
18,Spotify,2,No,Pop,Sometimes,Rarely,Rarely,Very frequently,Sometimes,7,4,2,5,Improve
14,Spotify,12,Yes,Rock,Sometimes,Sometimes,Rarely,Never,Very frequently,8,6,10,5,Improve
18,YouTube Music,6,Yes,Pop,Sometimes,Rarely,Rarely,Never,Sometimes,3,2,1,2,Improve
17,Spotify,2,Yes,Pop,Never,Very frequently,Rarely,Sometimes,Never,6,6,4,5,Improve
17,Apple Music,1,Yes,Pop,Rarely,Never,Never,Never,Never,8,2,1,5,Improve
20,Apple Music,5,Yes,Rock,Never,Rarely,Rarely,Never,Sometimes,7,7,2,0,Improve
19,Spotify,2,Yes,Classical,Very frequently,Never,Never,Never,Never,4,4,4,3,No effect
19,Spotify,6,Yes,Metal,Never,Never,Never,Rarely,Never,9,8,2,3,Improve
17,Spotify,4,No,Rock,Rarely,Rarely,Rarely,Rarely,Sometimes,5,6,6,1,Improve
16,Spotify,1,Yes,Classical,Very frequently,Never,Never,Never,Never,0,0,0,0,No effect
18,Spotify,5,Yes,Pop,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,3,2,1,1,Improve
21,Spotify,4,Yes,Pop,Never,Never,Rarely,Rarely,Rarely,6,8,0,2,Improve
17,Other streaming service,3,Yes,Pop,Never,Never,Sometimes,Sometimes,Very frequently,2,0,4,0,No effect
26,Other streaming service,0.5,No,Rock,Rarely,Never,Rarely,Never,Never,9,8,1,0,No effect
20,Spotify,4,Yes,EDM,Rarely,Rarely,Very frequently,Sometimes,Sometimes,7,2,8,6,Improve
23,YouTube Music,2,Yes,Video game music,Sometimes,Rarely,Never,Rarely,Rarely,4,2,3,4,Improve
18,Spotify,5,Yes,Rock,Very frequently,Never,Never,Rarely,Sometimes,7,6,5,0,Improve
37,YouTube Music,0.25,No,Video game music,Very frequently,Rarely,Never,Never,Never,3,2,10,0,No effect
17,Spotify,3,Yes,Classical,Very frequently,Never,Very frequently,Sometimes,Very frequently,6,6,8,2,Improve
18,Spotify,4,Yes,Metal,Rarely,Never,Never,Never,Very frequently,1,0,8,2,No effect
17,I do not use a streaming service.,1,Yes,Folk,Never,Sometimes,Rarely,Never,Sometimes,7,3,1,5,Improve
36,Spotify,1,No,Classical,Very frequently,Sometimes,Never,Never,Never,8,9,3,0,No effect
24,Spotify,3,Yes,Rock,Rarely,Never,Rarely,Rarely,Never,9,6,4,3,Improve
18,Spotify,5,Yes,Metal,Never,Never,Rarely,Never,Very frequently,7,9,5,0,Improve
19,Spotify,3,Yes,Pop,Sometimes,Rarely,Sometimes,Rarely,Sometimes,7,4,2,4,No effect
17,Apple Music,2,Yes,EDM,Never,Rarely,Very frequently,Never,Sometimes,0,0,0,0,Improve
16,Spotify,6,Yes,K pop,Rarely,Never,Never,Very frequently,Very frequently,7,8,7,5,Improve
23,Apple Music,1,No,Rap,Sometimes,Rarely,Sometimes,Never,Very frequently,10,6,3,10,No effect
23,Spotify,12,Yes,Pop,Very frequently,Rarely,Never,Rarely,Rarely,3,7,5,5,No effect
22,Spotify,4,Yes,Rock,Rarely,Never,Rarely,Never,Rarely,8,7,4,3,Improve
16,Apple Music,2,Yes,Classical,Very frequently,Never,Never,Never,Rarely,0,0,1,3,Improve
18,Spotify,6,Yes,Rock,Rarely,Never,Never,Never,Sometimes,8,6,2,10,No effect
42,I do not use a streaming service.,0,,Rock,Rarely,Rarely,Never,Never,Never,9,0,10,0,No effect
23,Spotify,7,Yes,Folk,Rarely,Very frequently,Never,Never,Rarely,6,4,2,3,Improve
23,I do not use a streaming service.,1,Yes,Video game music,Sometimes,Sometimes,Sometimes,Rarely,Rarely,7,0,0,2,Improve
19,YouTube Music,1,No,K pop,Never,Never,Never,Very frequently,Never,10,1,0,0,Improve
22,Pandora,1,No,Rock,Rarely,Never,Sometimes,Never,Never,8,7,0,5,Improve
15,Other streaming service,2,Yes,Rock,Never,Never,Rarely,Never,Never,3,2,6,7,Improve
25,Spotify,2,No,Metal,Rarely,Rarely,Rarely,Rarely,Rarely,5,5,3,1,No effect
32,Spotify,5,Yes,Rock,Sometimes,Never,Rarely,Rarely,Rarely,10,10,3,1,Worsen
36,Spotify,6,Yes,Metal,Very frequently,Never,Rarely,Sometimes,Never,5,4,10,2,Improve
24,Spotify,3,No,Rock,Sometimes,Sometimes,Never,Never,Never,0,0,8,0,No effect
29,Spotify,4,No,Hip hop,Rarely,Sometimes,Rarely,Rarely,Sometimes,8,8,5,10,Improve
41,Apple Music,3,Yes,Metal,Sometimes,Never,Sometimes,Never,Rarely,10,7,8,0,Improve
36,I do not use a streaming service.,2,Yes,Rock,Sometimes,Rarely,Very frequently,Never,Rarely,7,3,1,1,Improve
19,YouTube Music,3,Yes,Rock,Rarely,Sometimes,Sometimes,Never,Very frequently,8,7,4,0,Improve
31,Spotify,2,Yes,Rock,Never,Sometimes,Never,Rarely,Never,10,2,0,5,No effect
16,Spotify,4,Yes,Rock,Sometimes,Rarely,Rarely,Rarely,Rarely,9,8,1,2,Improve
26,Spotify,2,Yes,Hip hop,Rarely,Rarely,Very frequently,Rarely,Very frequently,6,3,1,1,Improve
22,Apple Music,0.5,No,Hip hop,Sometimes,Never,Never,Never,Very frequently,7,7,0,1,No effect
16,Spotify,5,Yes,Jazz,Sometimes,Rarely,Never,Very frequently,Very frequently,7,7,8,4,Improve
17,Spotify,5,Yes,Metal,Never,Sometimes,Rarely,Never,Never,4,1,0,0,Improve
19,Spotify,10,Yes,R&B,Never,Rarely,Very frequently,Very frequently,Rarely,7,2,1,5,Improve
18,YouTube Music,2,No,EDM,Sometimes,Rarely,Very frequently,Never,Sometimes,9,0,5,10,Improve
18,YouTube Music,4,Yes,Hip hop,Never,Never,Rarely,Sometimes,Very frequently,2,7,1,1,Improve
19,Spotify,5,No,Rock,Rarely,Never,Never,Never,Rarely,10,8,7,0,Improve
19,Spotify,3,Yes,Jazz,Rarely,Never,Rarely,Rarely,Sometimes,3,0,0,0,Improve
22,Spotify,2,Yes,K pop,Never,Never,Very frequently,Very frequently,Sometimes,7,8,5,1,No effect
16,Spotify,2.5,Yes,Rock,Rarely,Sometimes,Never,Never,Never,2,1,0,0,Improve
19,Spotify,3,Yes,R&B,Rarely,Never,Sometimes,Very frequently,Very frequently,5,4,0,1,Improve
37,Spotify,1,Yes,Rock,Rarely,Rarely,Rarely,Rarely,Rarely,9,10,6,10,No effect
14,Spotify,7,Yes,Jazz,Rarely,Never,Very frequently,Never,Never,2,0,0,0,Improve
33,I do not use a streaming service.,1,No,Metal,Rarely,Sometimes,Sometimes,Never,Sometimes,5,2,5,1,Improve
26,Spotify,1,No,R&B,Rarely,Sometimes,Never,Never,Very frequently,3,2,0,0,No effect
32,Spotify,3,Yes,Hip hop,Never,Never,Rarely,Never,Very frequently,2,0,7,0,No effect
30,Spotify,5,Yes,Metal,Sometimes,Rarely,Never,Never,Never,7,6,6,2,No effect
43,I do not use a streaming service.,6,Yes,Video game music,Sometimes,Rarely,Very frequently,Sometimes,Never,5,4,8,3,No effect
24,Spotify,4,Yes,Classical,Very frequently,Rarely,Rarely,Never,Never,4,6,5,3,Improve
36,YouTube Music,1,Yes,Rock,Sometimes,Rarely,Never,Never,Rarely,6,2,3,1,Improve
19,YouTube Music,4,Yes,Video game music,Rarely,Never,Rarely,Never,Never,8,2,1,6,Improve
22,Spotify,10,Yes,Metal,Rarely,Very frequently,Never,Never,Rarely,9,6,0,6,Improve
20,Spotify,3,No,EDM,Rarely,Sometimes,Very frequently,Rarely,Sometimes,0,3,7,0,Improve
31,Spotify,2,No,Rock,Rarely,Rarely,Never,Never,Rarely,8,9,6,2,Improve
19,Spotify,4,Yes,Metal,Sometimes,Never,Never,Rarely,Sometimes,4,1,1,1,Improve
15,Spotify,8,Yes,Rock,Never,Never,Never,Never,Never,8,7,5,0,Improve
18,Spotify,2,No,Metal,Never,Never,Rarely,Never,Rarely,3,4,6,1,Improve
25,I do not use a streaming service.,0.5,No,Classical,Very frequently,Never,Never,Never,Never,1,1,3,1,Improve
17,Apple Music,5,Yes,Metal,Never,Rarely,Never,Never,Sometimes,10,8,6,7,No effect
28,YouTube Music,1,No,Rock,Rarely,Never,Very frequently,Never,Never,6,6,2,0,No effect
20,Spotify,3,Yes,Rock,Never,Never,Rarely,Sometimes,Rarely,6,7,0,0,Improve
21,YouTube Music,2,Yes,Metal,Sometimes,Rarely,Never,Never,Rarely,8,4,10,0,No effect
41,Spotify,3,Yes,Pop,Sometimes,Never,Rarely,Rarely,Sometimes,9,7,6,2,No effect
20,Spotify,2,Yes,Pop,Never,Never,Sometimes,Never,Rarely,7,4,6,5,Improve
34,Other streaming service,4,Yes,Metal,Rarely,Never,Sometimes,Never,Sometimes,6,7,0,0,No effect
21,YouTube Music,3,Yes,Metal,Sometimes,Rarely,Never,Never,Never,10,0,10,10,Improve
23,Spotify,2,Yes,Metal,Rarely,Never,Never,Never,Never,6,3,0,1,Improve
16,Spotify,3,No,Pop,Rarely,Never,Never,Never,Rarely,7,5,5,3,Improve
19,YouTube Music,4,Yes,Pop,Rarely,Rarely,Rarely,Rarely,Sometimes,7,10,5,0,Improve
22,Spotify,2,Yes,Rock,Sometimes,Never,Never,Never,Sometimes,8,6,0,0,Improve
19,Spotify,8,Yes,K pop,Very frequently,Never,Rarely,Very frequently,Rarely,4,3,0,0,Improve
23,Spotify,4,Yes,Hip hop,Rarely,Never,Sometimes,Very frequently,Very frequently,7,6,7,5,Improve
23,Spotify,2,No,Metal,Never,Never,Rarely,Never,Rarely,7,3,2,3,Improve
22,Spotify,1,No,EDM,Never,Never,Very frequently,Never,Sometimes,2,7,5,0,Improve
17,Spotify,3,Yes,Rock,Rarely,Sometimes,Sometimes,Rarely,Sometimes,7,8,6,5,Improve
28,Spotify,0.5,No,Folk,Rarely,Sometimes,Never,Never,Rarely,4,7,1,0,Improve
23,Spotify,2,No,Rock,Never,Never,Never,Sometimes,Sometimes,7,8,5,1,No effect
19,Apple Music,3,Yes,Rock,Never,Sometimes,Sometimes,Never,Sometimes,5,2,8,6,Improve
17,Spotify,2,Yes,Hip hop,Rarely,Never,Sometimes,Rarely,Very frequently,10,7,4,2,Improve
21,YouTube Music,1,No,Rock,Never,Rarely,Never,Never,Sometimes,6,5,0,0,No effect
29,Other streaming service,5,Yes,Jazz,Rarely,Never,Never,Never,Never,7,2,3,1,Improve
22,Spotify,10,No,EDM,Sometimes,Sometimes,Very frequently,Never,Never,4,7,7,3,Improve
18,Spotify,4,Yes,Pop,Sometimes,Rarely,Sometimes,Sometimes,Rarely,4,5,6,5,Improve
13,Spotify,2,Yes,Rock,Rarely,Never,Sometimes,Never,Very frequently,7,10,5,6,Worsen
24,Spotify,1,No,Metal,Sometimes,Never,Rarely,Never,Sometimes,6,4,5,0,Improve
35,Spotify,6,Yes,Rock,Sometimes,Rarely,Sometimes,Rarely,Rarely,4,1,3,1,No effect
29,YouTube Music,1,Yes,Video game music,Sometimes,Never,Never,Never,Never,6,6,1,2,Improve
28,Spotify,6,Yes,Rock,Sometimes,Rarely,Never,Never,Rarely,10,8,7,1,Improve
32,Spotify,7,Yes,Pop,Sometimes,Never,Rarely,Never,Very frequently,10,8,2,8,Improve
32,Other streaming service,1,No,EDM,Rarely,Never,Very frequently,Never,Rarely,3,6,2,0,No effect
21,Spotify,3,Yes,Rock,Never,Never,Never,Never,Rarely,8,9,2,0,Improve
18,Spotify,2,Yes,Video game music,Never,Never,Sometimes,Never,Never,8,3,8,7,Improve
19,Spotify,3,Yes,Classical,Very frequently,Rarely,Never,Rarely,Never,3,3,1,2,Improve
18,Apple Music,2,Yes,Pop,Rarely,Rarely,Never,Very frequently,Rarely,6,5,2,0,Improve
16,YouTube Music,3,Yes,Pop,Rarely,Sometimes,Sometimes,Sometimes,Rarely,0,0,4,0,No effect
25,Spotify,1.5,Yes,Pop,Sometimes,Rarely,Rarely,Never,Rarely,6,5,0,2,Improve
17,Spotify,4,Yes,Lofi,Very frequently,Never,Never,Sometimes,Sometimes,3,8,0,0,Improve
16,Spotify,2,Yes,Rap,Very frequently,Never,Never,Sometimes,Very frequently,1,8,0,0,No effect
27,Spotify,10,Yes,Metal,Sometimes,Never,Sometimes,Never,Sometimes,5,6,6,3,Improve
53,Spotify,7,Yes,Pop,Very frequently,Sometimes,Very frequently,Rarely,Rarely,0,0,0,0,Improve
25,Spotify,1,Yes,EDM,Never,Never,Very frequently,Rarely,Never,0,8,0,0,Improve
34,Spotify,2,No,Metal,Never,Never,Rarely,Never,Never,3,7,0,0,Improve
22,Other streaming service,6,Yes,Jazz,Sometimes,Rarely,Very frequently,Rarely,Very frequently,8,8,8,5,Improve
17,Spotify,2,Yes,Jazz,Sometimes,Never,Never,Never,Rarely,5,2,3,4,Improve
26,Spotify,3,Yes,Folk,Rarely,Rarely,Never,Never,Rarely,8,8,3,0,Improve
19,Spotify,8,Yes,EDM,Never,Never,Very frequently,Rarely,Sometimes,6,8,8,0,Improve
21,Spotify,3,Yes,Pop,Rarely,Very frequently,Sometimes,Never,Very frequently,6,8,6,0,Worsen
32,Spotify,3,Yes,Rock,Rarely,Rarely,Sometimes,Never,Rarely,6,6,7,5,Improve
21,I do not use a streaming service.,3,Yes,Rock,Never,Never,Never,Never,Sometimes,9,10,3,0,No effect
25,Spotify,2,No,Pop,Rarely,Never,Never,Never,Very frequently,7,7,5,0,Improve
26,Spotify,1,No,Rock,Rarely,Never,Rarely,Never,Sometimes,10,7,2,8,No effect
21,Spotify,2,Yes,Metal,Rarely,Never,Never,Never,Rarely,1,3,0,6,No effect
17,Spotify,2,Yes,Pop,Rarely,Never,Never,Very frequently,Sometimes,5,3,2,1,Improve
28,I do not use a streaming service.,4,Yes,Rock,Rarely,Sometimes,Rarely,Rarely,Rarely,6,8,1,6,Improve
41,YouTube Music,4,Yes,Pop,Rarely,Never,Sometimes,Rarely,Sometimes,7,2,0,7,Improve
18,Spotify,1,Yes,Metal,Rarely,Never,Rarely,Never,Sometimes,6,9,9,0,Improve
22,Spotify,2,No,R&B,Sometimes,Never,Never,Very frequently,Rarely,1,1,4,1,No effect
18,Other streaming service,2,Yes,K pop,Rarely,Never,Never,Very frequently,Never,0,2,0,0,
49,Other streaming service,1,Yes,EDM,Sometimes,Never,Very frequently,Rarely,Rarely,8,8,2,0,Improve
21,Spotify,3,Yes,Metal,Sometimes,Rarely,Rarely,Rarely,Sometimes,3,3,7,0,No effect
27,Spotify,10,Yes,Metal,Never,Rarely,Sometimes,Rarely,Sometimes,8,8,3,0,Improve
19,Spotify,1,No,Metal,Never,Never,Never,Never,Rarely,6,4,0,3,No effect
27,Spotify,3,Yes,Metal,Sometimes,Never,Never,Never,Sometimes,1,0,0,0,Improve
27,Spotify,1.5,Yes,Rock,Never,Never,Never,Rarely,Sometimes,5,5,4,4,Improve
19,Spotify,3,Yes,K pop,Sometimes,Never,Never,Very frequently,Rarely,8,9,6,0,
42,YouTube Music,2.5,Yes,Rock,Sometimes,Rarely,Very frequently,Never,Rarely,8,8,7,6,Improve
60,Pandora,2,Yes,Gospel,Rarely,Sometimes,Never,Never,Never,3,0,2,0,Improve
19,YouTube Music,5,Yes,Metal,Sometimes,Rarely,Rarely,Never,Sometimes,0,5,1,0,No effect
20,Apple Music,2,Yes,Pop,Rarely,Never,Never,Never,Rarely,6,3,0,0,Improve
28,Spotify,2,No,Metal,Rarely,Never,Never,Never,Never,1,7,5,1,Improve
16,I do not use a streaming service.,2,No,Video game music,Sometimes,Rarely,Never,Rarely,Rarely,4,2,1,1,No effect
18,Spotify,2,Yes,R&B,Sometimes,Never,Never,Never,Rarely,5,6,0,1,No effect
34,Spotify,1,Yes,Rock,Rarely,Never,Very frequently,Very frequently,Never,1,0,0,0,No effect
18,YouTube Music,1.5,Yes,Pop,Never,Rarely,Rarely,Sometimes,Rarely,8,6,5,2,Improve
21,Spotify,5,Yes,Folk,Sometimes,Rarely,Never,Never,Rarely,9,4,0,3,Improve
38,Spotify,0.5,No,Rock,Never,Never,Rarely,Never,Rarely,4,6,6,4,Improve
17,Spotify,2,Yes,Rock,Never,Rarely,Rarely,Rarely,Rarely,7,3,1,5,Improve
35,Other streaming service,0.5,No,Pop,Sometimes,Never,Never,Never,Never,10,3,1,0,No effect
21,I do not use a streaming service.,2,Yes,Rock,Rarely,Sometimes,Rarely,Never,Very frequently,8,8,3,0,Improve
25,Apple Music,2.5,Yes,R&B,Rarely,Never,Never,Never,Sometimes,7,6,5,4,Improve
18,Spotify,2,Yes,K pop,Very frequently,Never,Never,Very frequently,Sometimes,7,2,3,5,Improve
16,Apple Music,2,No,Pop,Never,Sometimes,Rarely,Rarely,Rarely,10,3.5,5,10,Improve
19,Spotify,1,Yes,Pop,Rarely,Sometimes,Rarely,Never,Sometimes,7,5,1,2,Improve
31,Spotify,4,Yes,Classical,Very frequently,Never,Rarely,Never,Sometimes,6,8,9,5,Improve
26,Spotify,5,Yes,Rock,Never,Never,Sometimes,Never,Never,2,9,2,1,No effect
16,Spotify,2,Yes,Rock,Rarely,Never,Very frequently,Never,Never,7,4,10,2,Improve
26,Spotify,2,Yes,Rock,Very frequently,Rarely,Rarely,Never,Rarely,7,5,6,0,Improve
17,Spotify,2,Yes,R&B,Rarely,Rarely,Never,Very frequently,Sometimes,6,1,0,0,Improve
22,Spotify,1,Yes,Video game music,Sometimes,Sometimes,Rarely,Rarely,Never,3,6,1,1,Improve
20,Apple Music,4,Yes,R&B,Sometimes,Rarely,Never,Rarely,Very frequently,9,10,3,0,Improve
30,Spotify,1,No,Rock,Sometimes,Sometimes,Rarely,Never,Rarely,8,5,8,9,Improve
26,Other streaming service,4,Yes,Pop,Rarely,Very frequently,Rarely,Never,Never,8,7,7,3,Improve
19,Spotify,5,Yes,Rock,Sometimes,Rarely,Never,Rarely,Rarely,9,9,9,3,No effect
21,,5,Yes,Country,Never,Very frequently,Rarely,Never,Rarely,9,8,9,7,Improve
33,Spotify,7,Yes,Rock,Rarely,Sometimes,Sometimes,Rarely,Very frequently,9,3,7,8,Improve
28,YouTube Music,2,Yes,Rock,Never,Rarely,Rarely,Rarely,Rarely,10,8,6,2,Improve
25,Spotify,3,Yes,Rock,Rarely,Never,Sometimes,Rarely,Rarely,9,6,3,0,Improve
22,YouTube Music,2,Yes,Pop,Rarely,Never,Rarely,Never,Rarely,7,7,8,3,Improve
19,Spotify,3,Yes,Rock,Sometimes,Never,Sometimes,Never,Never,9,10,4,0,Improve
44,Other streaming service,3,Yes,Folk,Rarely,Rarely,Rarely,Never,Sometimes,9,9,8,2,Improve
22,Spotify,3,Yes,Rock,Never,Rarely,Never,Never,Never,9,10,3,9,Improve
26,Spotify,5,Yes,Metal,Sometimes,Rarely,Very frequently,Sometimes,Rarely,10,9,8,8,Improve
23,I do not use a streaming service.,6,Yes,Classical,Very frequently,Never,Never,Never,Never,6,5,6,8,Improve
17,Spotify,2,No,R&B,Sometimes,Never,Rarely,Rarely,Sometimes,8,6,10,3,Improve
42,YouTube Music,2,No,Metal,Sometimes,Rarely,Sometimes,Never,Sometimes,8,3,6,4,Improve
30,Spotify,1,No,Rock,Rarely,Never,Rarely,Never,Rarely,4,2,1,3,Improve
35,Spotify,1,Yes,Pop,Sometimes,Rarely,Sometimes,Rarely,Rarely,2,1,1,1,No effect
20,Spotify,3,No,Rock,Never,Very frequently,Never,Never,Sometimes,10,10,7,3,Improve
18,Spotify,3,Yes,Rap,Rarely,Never,Never,Never,Very frequently,8,9,0,0,Improve
21,Spotify,1,No,Pop,Never,Never,Sometimes,Sometimes,Rarely,4,9,6,2,No effect
19,Spotify,6,Yes,Rock,Never,Never,Rarely,Never,Sometimes,4,2,0,0,Improve
37,Spotify,4,Yes,Rock,Rarely,Sometimes,Sometimes,Never,Very frequently,9,2,7,7,Improve
31,Spotify,2,Yes,Metal,Sometimes,Rarely,Rarely,Rarely,Sometimes,8,6,7,5,Improve
29,Spotify,2,Yes,Folk,Never,Sometimes,Rarely,Rarely,Rarely,6,5,4,2,Improve
20,Spotify,3,Yes,Rock,Sometimes,Rarely,Rarely,Never,Rarely,8,5,2,3,Improve
36,I do not use a streaming service.,8,Yes,Video game music,Sometimes,Rarely,Sometimes,Never,Rarely,7,6,6,1,No effect
18,Spotify,3,Yes,Rock,Sometimes,Never,Never,Never,Never,10,2,0,0,Improve
18,Spotify,2,Yes,K pop,Rarely,Never,Sometimes,Very frequently,Never,6,0,0,0,Improve
25,Spotify,7,Yes,Pop,Never,Sometimes,Very frequently,Very frequently,Sometimes,2,0,1,0,Improve
18,YouTube Music,12,Yes,K pop,Never,Never,Never,Very frequently,Sometimes,3,7,5,2,Improve
31,YouTube Music,9,Yes,Pop,Rarely,Rarely,Rarely,Rarely,Rarely,9,0,2,0,Improve
17,Spotify,2,Yes,Pop,Rarely,Rarely,Rarely,Sometimes,Sometimes,5,4,1,1,Improve
21,Spotify,1,Yes,Folk,Never,Rarely,Never,Never,Never,8,4,0,1,Improve
30,Other streaming service,1,No,Country,Never,Very frequently,Never,Never,Sometimes,8,10,2,0,Improve
40,Apple Music,2,Yes,Metal,Sometimes,Never,Sometimes,Never,Rarely,3,6,2,1,No effect
64,I do not use a streaming service.,4,Yes,Rock,Sometimes,Rarely,Sometimes,Rarely,Rarely,4,4,2,1,Improve
14,Spotify,2,Yes,Rock,Rarely,Never,Never,Never,Sometimes,7,5,2,6,Improve
26,YouTube Music,6,Yes,Rock,Sometimes,Never,Never,Never,Rarely,3,2,0,0,No effect
35,Spotify,4,Yes,Country,Rarely,Very frequently,Rarely,Rarely,Sometimes,9,9,5,1,Improve
33,Other streaming service,1,No,Rock,Never,Never,Never,Never,Rarely,3,10,4,1,No effect
30,Spotify,6,Yes,Folk,Sometimes,Rarely,Never,Never,Never,9,0,5,0,No effect
31,Spotify,2,No,Metal,Sometimes,Sometimes,Sometimes,Never,Sometimes,7,6,6,5,Improve
27,Spotify,5,Yes,Folk,Rarely,Never,Sometimes,Sometimes,Never,0,9,4,0,Improve
53,I do not use a streaming service.,1.5,No,Pop,Rarely,Never,Very frequently,Rarely,Sometimes,2,2,2,1,No effect
23,Spotify,5,Yes,Metal,Sometimes,Rarely,Never,Never,Never,6,9,2,1,Improve
25,Spotify,2,Yes,EDM,Rarely,Rarely,Very frequently,Sometimes,Sometimes,6,4,1,0,Improve
16,Apple Music,4,Yes,K pop,Very frequently,Rarely,Rarely,Very frequently,Rarely,8,9,4,0,Improve
18,Spotify,2,Yes,Rock,Never,Never,Rarely,Never,Rarely,6,7,4,3,Improve
29,Spotify,5,Yes,Classical,Very frequently,Never,Never,Never,Never,7,2,2,0,Improve
31,YouTube Music,6,Yes,EDM,Rarely,Rarely,Very frequently,Never,Sometimes,8,6,5,6,No effect
31,Spotify,1,No,Rock,Sometimes,Rarely,Never,Never,Rarely,3,10,0,0,Worsen
38,Spotify,6,Yes,Pop,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,9,4,9,7,Improve
17,Spotify,4,No,Classical,Very frequently,Never,Never,Rarely,Rarely,7,9,2,8,Worsen
25,Apple Music,2,No,EDM,Never,Sometimes,Very frequently,Never,Never,10,3,1,4,Improve
20,Spotify,2,No,Metal,Rarely,Never,Never,Never,Rarely,0,0,0,1,No effect
